timestamp,a_current,a_voltage,a_act_power,a_aprt_power,a_pf,a_freq,b_current,b_voltage,b_act_power,b_aprt_power,b_pf,b_freq,c_current,c_voltage,c_act_power,c_aprt_power,c_pf,c_freq,n_current,total_current,total_act_power,total_aprt_power,user_calibrated_phase
1743591602,3.01,224.7,496.2,677.2,0.73,50.0,5.717,211.2,1206.7,1209.6,1.0,50.0,2.908,221.1,634.6,643.5,0.99,50.0,,11.635,2337.416,2530.354,[]
1743591661,3.067,225.5,509.8,692.6,0.74,49.9,7.13,206.7,1474.3,1476.7,1.0,50.0,2.919,222.3,640.4,649.7,0.99,50.0,,13.116,2624.527,2818.946,[]
1743591722,3.071,221.9,504.9,682.6,0.74,49.9,7.195,208.7,1502.4,1504.6,1.0,49.9,2.928,223.2,645.2,654.2,0.99,49.9,,13.195,2652.503,2841.405,[]
1743591782,3.012,226.4,502.8,682.9,0.73,50.0,7.343,211.6,1553.0,1556.3,1.0,50.0,2.88,218.6,622.1,630.3,0.99,50.0,,13.236,2677.923,2869.431,[]
1743591841,3.184,225.3,527.1,718.3,0.74,50.0,7.327,213.1,1561.3,1564.5,1.0,50.0,2.875,218.5,619.1,628.8,0.99,50.0,,13.386,2707.614,2911.605,[]
1743591902,3.032,224.0,497.6,680.2,0.73,50.0,7.303,212.4,1551.3,1553.4,1.0,50.0,2.887,219.2,624.3,633.6,0.99,50.0,,13.221,2673.162,2867.16,[]
1743591961,3.01,227.1,499.6,684.4,0.73,50.0,7.299,212.2,1549.8,1551.4,1.0,50.0,2.879,218.3,620.1,629.3,0.99,50.0,,13.188,2669.578,2865.158,[]
1743592021,3.015,227.5,502.9,687.0,0.73,50.0,7.289,212.1,1545.7,1548.5,1.0,50.0,2.874,217.9,617.8,626.8,0.99,50.0,,13.178,2666.466,2862.264,[]
1743592082,3.061,224.9,506.8,689.2,0.73,50.0,7.355,214.2,1575.7,1578.5,1.0,50.0,2.903,220.7,632.7,641.3,0.99,50.0,,13.319,2715.168,2908.981,[]
1743592141,3.002,226.3,499.7,680.1,0.73,50.0,7.271,211.5,1538.8,1540.8,1.0,50.0,2.903,220.8,632.6,641.6,0.99,50.0,,13.176,2671.076,2862.466,[]
1743592202,3.055,225.2,507.5,688.9,0.74,50.0,7.383,215.2,1589.4,1591.5,1.0,50.0,2.899,220.3,630.6,639.4,0.99,50.0,,13.336,2727.482,2919.831,[]
1743592261,2.982,227.3,494.1,678.8,0.73,50.0,7.286,212.0,1542.3,1547.8,1.0,50.0,2.897,218.6,629.5,633.8,0.99,50.0,,13.164,2665.877,2860.313,[]
1743592321,3.057,225.4,504.0,690.1,0.74,50.0,7.423,216.6,1608.7,1610.6,1.0,50.0,2.861,216.5,611.2,620.3,0.98,50.0,,13.341,2723.966,2920.975,[]
1743592382,3.032,227.6,505.4,690.9,0.73,50.0,7.283,211.9,1544.1,1546.2,1.0,50.0,2.873,217.8,617.6,626.5,0.99,50.0,,13.187,2667.072,2863.543,[]
1743592441,3.022,226.5,505.1,685.3,0.73,50.0,7.392,215.5,1594.5,1596.0,1.0,50.0,2.866,216.8,612.7,622.0,0.99,50.0,,13.279,2712.224,2903.345,[]
1743592502,3.028,227.4,505.7,689.5,0.73,50.0,7.268,211.4,1537.2,1539.1,1.0,50.0,2.87,217.3,615.2,624.4,0.98,50.0,,13.166,2658.055,2852.978,[]
1743592562,3.054,225.4,504.2,689.3,0.73,50.0,7.407,216.0,1601.6,1602.9,1.0,50.0,2.857,215.9,608.1,617.4,0.99,50.0,,13.318,2713.939,2909.62,[]
1743592621,3.044,225.5,509.8,687.5,0.73,50.0,7.428,216.6,1610.6,1612.1,1.0,50.0,2.86,216.5,610.6,619.8,0.99,50.0,,13.333,2731.048,2919.427,[]
1743592682,3.013,224.7,495.7,677.7,0.73,50.0,7.412,216.1,1602.7,1604.2,1.0,50.0,2.863,216.8,612.6,621.5,0.99,50.0,,13.287,2710.962,2903.379,[]
1743592742,3.067,226.4,508.5,695.4,0.73,50.0,7.497,218.9,1643.0,1644.1,1.0,50.0,2.803,210.8,582.1,591.3,0.98,50.0,,13.367,2733.622,2930.749,[]
1743592801,3.166,225.5,532.1,715.1,0.74,50.0,7.479,218.5,1635.0,1636.8,1.0,50.0,2.985,210.2,615.7,628.3,0.98,50.0,,13.631,2782.862,2980.191,[]
1743592862,3.217,222.0,533.5,715.0,0.75,50.0,7.484,218.6,1636.7,1639.0,1.0,50.0,2.994,210.9,621.0,632.1,0.98,50.0,,13.695,2791.172,2986.197,[]
1743592921,3.31,219.4,546.9,727.3,0.75,50.0,7.451,217.3,1619.8,1621.5,1.0,50.0,3.005,212.9,628.5,640.4,0.98,50.0,,13.766,2795.294,2989.208,[]
1743592982,3.272,222.9,551.7,730.3,0.75,50.0,7.473,217.5,1623.2,1628.6,1.0,50.0,2.919,212.6,611.0,621.2,0.98,50.0,,13.664,2785.89,2980.107,[]
1743593042,3.411,218.3,561.3,745.8,0.75,50.0,7.473,217.9,1629.5,1630.7,1.0,50.0,3.029,216.0,640.1,655.0,0.98,50.0,,13.912,2830.84,3031.533,[]
1743593101,3.326,222.1,558.0,739.7,0.75,50.0,7.385,215.1,1589.6,1590.9,1.0,50.0,3.046,217.1,649.7,662.1,0.98,50.0,,13.756,2797.262,2992.606,[]
1743593162,3.285,221.9,550.3,729.9,0.75,50.0,7.383,215.2,1591.3,1591.9,1.0,50.0,3.045,216.8,648.1,661.0,0.98,50.0,,13.713,2789.725,2982.714,[]
1743593221,3.327,222.4,557.9,740.9,0.75,50.0,7.41,216.2,1603.1,1604.6,1.0,50.0,3.046,217.1,649.8,662.2,0.98,50.0,,13.783,2810.72,3007.679,[]
1743593282,3.355,221.3,561.5,743.7,0.75,50.0,7.427,216.7,1610.6,1611.9,1.0,50.0,2.949,216.1,627.4,638.0,0.98,50.0,,13.731,2799.55,2993.632,[]
1743593342,3.367,216.8,552.8,731.1,0.76,50.0,7.438,217.1,1615.7,1617.4,1.0,50.0,2.987,220.0,648.1,658.0,0.98,50.0,,13.793,2816.557,3006.518,[]
1743593462,3.318,217.0,543.6,721.2,0.75,50.0,7.414,216.3,1604.8,1606.2,1.0,50.0,2.906,221.1,634.1,643.2,0.99,50.0,,13.639,2782.492,2970.518,[]
1743593521,3.273,222.7,544.7,730.0,0.75,50.0,7.38,214.9,1587.4,1589.0,1.0,50.0,2.899,220.2,630.1,639.1,0.99,50.0,,13.552,2762.12,2958.086,[]
1743593582,3.305,223.0,552.4,737.9,0.75,50.0,7.481,218.4,1634.7,1636.8,1.0,50.0,2.829,213.3,594.9,604.0,0.99,50.0,,13.615,2782.021,2978.744,[]
1743593642,3.317,218.1,547.1,724.2,0.75,50.0,7.429,216.4,1608.2,1610.5,1.0,50.0,2.907,221.3,635.4,644.1,0.99,50.0,,13.652,2790.685,2978.795,[]
1743593701,3.308,222.7,555.5,737.5,0.75,50.0,7.415,215.9,1602.7,1603.5,1.0,50.0,2.893,219.8,627.7,636.8,0.99,50.0,,13.616,2785.89,2977.802,[]
1743593762,3.358,219.5,555.5,738.2,0.75,50.0,7.439,217.0,1616.1,1617.5,1.0,50.0,2.905,220.5,632.2,641.3,0.99,50.0,,13.702,2803.89,2996.913,[]
1743593822,3.28,220.9,541.8,725.8,0.75,50.0,5.829,216.3,1260.2,1262.8,1.0,50.0,2.915,222.3,640.3,648.7,0.99,50.0,,12.025,2442.339,2637.212,[]
1743593881,3.32,222.8,559.1,740.5,0.75,50.0,5.651,208.1,1174.8,1178.2,1.0,50.0,2.897,220.2,630.2,638.6,0.99,50.0,,11.867,2364.114,2557.388,[]
1743593942,3.32,222.4,555.8,739.3,0.75,50.0,5.638,207.6,1169.3,1172.3,1.0,50.0,2.934,223.8,648.6,657.5,0.99,50.0,,11.892,2373.702,2569.164,[]
1743594001,3.254,219.3,537.3,714.5,0.75,50.0,5.597,205.7,1150.7,1153.5,1.0,50.0,2.952,225.6,658.0,666.6,0.99,50.0,,11.802,2346.046,2534.577,[]
1743594062,3.333,215.0,541.8,717.6,0.75,50.0,5.874,218.2,1280.9,1283.8,1.0,50.0,2.93,223.4,646.5,655.1,0.99,50.0,,12.137,2469.238,2656.423,[]
1743594122,3.295,219.3,543.3,723.5,0.75,50.0,5.874,217.8,1279.3,1281.7,1.0,50.0,2.92,222.2,640.6,649.5,0.99,50.0,,12.088,2463.266,2654.758,[]
1743594181,3.296,219.4,540.0,724.3,0.75,50.0,5.827,216.3,1260.1,1262.6,1.0,50.0,2.917,222.2,640.3,648.8,0.99,50.0,,12.04,2440.404,2635.63,[]
1743594242,3.335,216.3,550.2,722.3,0.76,50.0,5.848,216.7,1266.7,1269.2,1.0,50.0,2.922,222.6,642.4,651.2,0.99,50.0,,12.105,2459.229,2642.713,[]
1743594301,3.279,217.3,534.2,713.7,0.76,50.0,5.79,214.6,1242.6,1244.8,1.0,50.0,2.934,223.8,648.3,657.2,0.99,50.0,,12.003,2424.978,2615.78,[]
