timestamp,a_current,a_voltage,a_act_power,a_aprt_power,a_pf,a_freq,b_current,b_voltage,b_act_power,b_aprt_power,b_pf,b_freq,c_current,c_voltage,c_act_power,c_aprt_power,c_pf,c_freq,n_current,total_current,total_act_power,total_aprt_power,user_calibrated_phase
1743589919,3.286,223.1,554.2,734.2,0.75,50.0,7.341,213.5,1567.9,1570.1,1.0,50.0,2.89,219.5,626.3,635.0,0.99,50.0,,13.518,2748.46,2939.379,[]
1743589921,3.256,223.0,548.2,726.9,0.75,50.0,7.348,213.5,1569.1,1571.4,1.0,50.0,2.89,219.4,625.8,634.7,0.99,50.0,,13.494,2743.127,2932.987,[]
1743589982,3.285,223.9,552.7,736.6,0.75,50.0,7.337,213.3,1566.0,1567.9,1.0,50.0,2.886,219.2,624.7,633.4,0.99,50.0,,13.508,2743.362,2937.815,[]
1743590042,3.271,224.0,547.6,733.6,0.75,50.0,7.333,213.2,1564.4,1566.6,1.0,50.0,2.896,220.2,629.3,638.4,0.99,50.0,,13.5,2741.344,2938.538,[]
1743590101,3.234,223.4,543.3,723.5,0.75,50.0,7.291,212.0,1546.4,1548.4,1.0,50.0,2.886,219.2,624.3,633.3,0.99,50.0,,13.412,2713.957,2905.179,[]
1743590162,3.295,223.4,554.9,737.2,0.75,50.0,7.273,211.3,1537.0,1539.2,1.0,50.0,2.895,219.4,627.0,636.0,0.99,50.0,,13.464,2718.801,2912.497,[]
1743590222,3.259,224.3,548.5,732.1,0.75,50.0,7.276,211.5,1539.6,1541.9,1.0,50.0,2.869,217.4,615.2,624.2,0.99,50.0,,13.404,2703.24,2898.231,[]
1743590281,3.252,223.7,549.5,728.4,0.75,50.0,7.293,212.2,1547.6,1550.7,1.0,50.0,2.881,218.7,622.5,630.8,0.99,50.0,,13.427,2719.558,2909.906,[]
1743590341,3.26,222.7,542.2,726.9,0.75,50.0,7.342,213.5,1566.5,1570.3,1.0,50.0,2.851,215.6,606.8,615.5,0.99,50.0,,13.453,2715.588,2912.716,[]
1743590402,3.266,222.1,543.8,726.3,0.75,50.0,5.825,215.5,1255.4,1257.6,1.0,50.0,2.845,215.0,603.6,612.5,0.99,50.0,,11.936,2402.789,2596.518,[]
1743590461,3.27,221.7,548.3,725.9,0.75,50.0,5.833,216.0,1259.1,1262.0,1.0,50.0,2.847,215.1,604.5,613.2,0.99,50.0,,11.95,2411.957,2601.144,[]
1743590522,3.26,225.8,550.8,737.0,0.75,50.0,5.824,215.8,1257.0,1259.3,1.0,50.0,2.83,213.3,595.4,604.2,0.98,50.0,,11.914,2403.142,2600.421,[]
1743590581,3.22,226.6,545.8,730.8,0.75,50.0,5.807,215.4,1247.1,1253.0,1.0,50.0,2.861,215.9,613.6,618.5,0.99,50.0,,11.889,2406.456,2602.305,[]
1743590641,3.239,226.8,547.3,735.7,0.74,50.0,5.811,215.1,1250.0,1252.0,1.0,50.0,2.85,215.3,605.4,614.4,0.99,50.0,,11.9,2402.688,2602.069,[]
1743590702,3.275,222.8,547.9,730.4,0.75,50.0,5.724,211.5,1210.1,1212.8,1.0,50.0,2.892,219.4,626.2,635.1,0.99,50.0,,11.891,2384.267,2578.333,[]
